KANSAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offense Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Agency, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Crimes Against Persons,,,,,,,,,,,,,,,,,,,Crimes Against Property,,,,,,,,,,,,,,,,,,,,,,,,,,,Crimes Against Society,,,,,,,,,,,,,,
Agency Type,Agency Name,Population1,"Total
Offenses","Crimes
Against
Persons","Crimes
Against
Property","Crimes
Against
Society","Assault
Offenses","Aggravated
Assault","Simple
Assault",Intimidation,"Homicide
Offenses","Murder and
Nonnegligent
Manslaughter","Negligent
Man-
slaughter","Justifiable
Homicide","Human
Trafficking
Offenses","Commercial
Sex Acts","Involuntary
Servitude","Kidnapping/
Abduction","Sex
Offenses",Rape,Sodomy,"Sexual
Assault
With an
Object",Fondling,Incest,"Statutory
Rape",Arson,Bribery,"Burglary/
Breaking &
Entering","Counter-
feiting/
Forgery","Destruction/
Damage/
Vandalism
of Property","Embezzle-
ment","Extortion/
Blackmail","Fraud
Offenses","False
Pretenses/
Swindle/
Confidence
Game","Credit
Card/
Automated
Teller
Machine
Fraud","Imper-
sonation","Welfare
Fraud","Wire
Fraud","Identity 
Theft","Hacking/
Computer 
Invasion","Larceny/
Theft
Offenses","Pocket-
picking","Purse-
snatching","Shop-
lifting","Theft
From
Building","Theft
From
Coin Op-
erated
Machine
or Device","Theft
From
Motor
Vehicle","Theft of 
Motor 
Vehicle
Parts or
Acces-
sories","All
Other
Larceny","Motor
Vehicle
Theft",Robbery,"Stolen
Property
Offenses","Animal 
Cruelty","Drug/
Narcotic
Offenses","Drug/
Narcotic
Violations","Drug
Equipment
Violations","Gambling
Offenses","Betting/
Wagering","Operating/
Promoting/
Assisting
Gambling","Gambling
Equipment
Violations","Sports
Tampering","Por-
nography/
Obscene
Material","Pros-
titution
Offenses","Pros-
titution","Assisting or
Promoting
Prostitution","Purchasing
Prostitution","Weapon
Law
Violations"
Cities,Abilene,"6,055",274,56,129,89,49,8,34,7,0,0,0,0,0,0,0,3,4,1,0,0,3,0,0,3,0,7,14,28,0,0,32,29,3,0,0,0,0,0,42,0,0,11,10,0,5,1,15,3,0,0,0,88,44,44,0,0,0,0,0,0,0,0,0,0,1
,Anthony,"2,011",117,38,59,20,33,2,15,16,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,1,6,4,11,0,1,18,12,6,0,0,0,0,0,17,0,0,0,3,0,2,1,11,1,0,0,0,20,11,9,0,0,0,0,0,0,0,0,0,0,0
,Arma,"1,405",107,25,62,20,25,4,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,13,1,0,4,2,2,0,0,0,0,0,28,1,0,2,8,0,2,2,13,4,0,1,0,19,11,8,0,0,0,0,0,0,0,0,0,0,1
,Atchison,"10,374",490,151,290,49,141,33,98,10,0,0,0,0,0,0,0,1,9,4,3,0,2,0,0,0,0,1,2,75,0,0,13,13,0,0,0,0,0,0,181,0,0,34,53,0,25,4,65,15,1,2,0,46,44,2,0,0,0,0,0,0,0,0,0,0,3
,Atwood,"1,210",49,21,25,3,13,3,8,2,0,0,0,0,0,0,0,3,5,2,0,0,3,0,0,0,0,2,0,10,0,0,1,1,0,0,0,0,0,0,11,0,0,1,0,0,1,0,9,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1
,Augusta,"9,290",607,141,398,68,126,13,107,6,1,1,0,0,0,0,0,3,11,5,1,0,4,0,1,0,0,36,13,112,1,0,61,42,19,0,0,0,0,0,163,1,0,31,18,0,26,21,66,8,2,2,0,64,27,37,0,0,0,0,0,3,0,0,0,0,1
,Baldwin City,"4,706",157,66,74,17,57,18,25,14,0,0,0,0,0,0,0,2,7,3,0,0,4,0,0,0,0,10,3,31,0,0,8,5,3,0,0,0,0,0,18,0,0,0,2,0,4,3,9,2,0,2,0,16,8,8,0,0,0,0,0,1,0,0,0,0,0
,Baxter Springs,"3,859",326,73,170,83,66,19,38,9,0,0,0,0,0,0,0,5,2,0,0,0,2,0,0,1,0,25,4,47,0,0,9,6,3,0,0,0,0,0,70,1,0,7,7,0,26,3,26,11,0,3,0,78,43,35,0,0,0,0,0,0,0,0,0,0,5
,Bel Aire,"8,660",302,50,193,59,44,4,27,13,0,0,0,0,0,0,0,3,3,0,0,0,2,0,1,0,0,13,2,39,2,1,30,26,4,0,0,0,0,0,87,0,0,3,1,0,57,7,19,17,0,2,0,55,32,23,0,0,0,0,0,0,0,0,0,0,4
